Category Name,2nd Category,3rd Category,brand,Manufacture pin,Product Name,stock,description,Retail price inc GST, url, Image Url
Computer Systems,Computer Components,NAS,Western Digital,60016,WD SENTINEL DX4000 GUARDIAN EXPRESS SUPPORT - 1 YEAR,with In Stock,WD SENTINEL DX4000 GUARDIAN EXPRESS SUPPORT - 1 YEAR,101.1400,http://www.citywidetech.co.nz/p.aspx?64923,
Computer Systems,Computer Components,NAS,Western Digital,71988,WD MY CLOUD PRO SERIES PR2100 DISKLESS 2-BAY GIGABIT ETHERNET EXTERNAL NAS PERSONAL CLOUD STORAGE,with In Stock,WD MY CLOUD PRO SERIES PR2100 DISKLESS 2-BAY GIGABIT ETHERNET EXTERNAL NAS PERSONAL CLOUD STORAGE,772.1900,http://www.citywidetech.co.nz/p.aspx?64924,
Computer Systems,Computer Components,NAS,Western Digital,71989,WD MY CLOUD PRO SERIES PR2100 4TB 2-BAY GIGABIT ETHERNET EXTERNAL NAS PERSONAL CLOUD STORAGE,with In Stock,WD MY CLOUD PRO SERIES PR2100 4TB 2-BAY GIGABIT ETHERNET EXTERNAL NAS PERSONAL CLOUD STORAGE,1168.1900,http://www.citywidetech.co.nz/p.aspx?64925,
Displays,,Monitor,Acer,71612,ACER PREDATOR XB321HK 32 WIDE IPS 4K NVIDIA G-SYNC GAMING MONITOR 3840X2160 16:9 100000000:1 4MS USB3.0 HDMI DISPLAYPORT SPEAKER 3 YEAR WARRANTY,with In Stock,ACER PREDATOR XB321HK 32 WIDE IPS 4K NVIDIA G-SYNC GAMING MONITOR 3840X2160 16:9 100000000:1 4MS USB3.0 HDMI DISPLAYPORT SPEAKER 3 YEAR WARRANTY,1934.1900,http://www.citywidetech.co.nz/p.aspx?64926,
Video Gaming,Video Game Systems,Hand-held Game,Rapoo,70081,XIRO PROPELLER PROTECTOR X 4,with In Stock,XIRO PROPELLER PROTECTOR X 4,32.8900,http://www.citywidetech.co.nz/p.aspx?64927,
Video Gaming,Video Game Systems,Hand-held Game,Rapoo,70078,XIRO PROPELLERS X 4,with In Stock,XIRO PROPELLERS X 4,32.8900,http://www.citywidetech.co.nz/p.aspx?64928,
Displays,,Monitor,BenQ,72731,27" BENQ ZOWIE 1MS 144HZ - E-SPORTS MONITOR WITH 2560 X 1440144HZ REFRESH RATE 1MS RESPONSE TIME. INPUTS: HDMI DVI.,Out of stock,27" BENQ ZOWIE 1MS 144HZ - E-SPORTS MONITOR WITH 2560 X 1440144HZ REFRESH RATE 1MS RESPONSE TIME. INPUTS: HDMI DVI.,1010.7400,http://www.citywidetech.co.nz/p.aspx?64929,
Displays,,Monitor,BenQ,72361,27" BENQ ZOWIE 1MS 144HZ - E-SPORTS MONITOR WITH 2560 X 1440144HZ REFRESH RATE 1MS RESPONSE TIME. INPUTS: HDMI DVI.,with In Stock,27" BENQ ZOWIE 1MS 144HZ - E-SPORTS MONITOR WITH 2560 X 1440144HZ REFRESH RATE 1MS RESPONSE TIME. INPUTS: HDMI DVI.,1137.2400,http://www.citywidetech.co.nz/p.aspx?64930,
Computer Systems,Computer Components,Cases,Aerocool,70280,Aerocool Xpredator Cube Orange Edition mATX / Mini ITX Gaming Case,with In Stock,Aerocool Xpredator Cube Orange Edition mATX / Mini ITX Gaming Case,125.2400,http://www.citywidetech.co.nz/p.aspx?64931,
Displays,,Monitor,ViewSonic,71914,ViewSonic VX2757-MHD 27-inch 1080p Gaming Monitor with 1ms VGA HDMI DisplayPort and FreeSync Technology,with In Stock,ViewSonic VX2757-MHD 27-inch 1080p Gaming Monitor with 1ms VGA HDMI DisplayPort and FreeSync Technology,322.5800,http://www.citywidetech.co.nz/p.aspx?64932,
Computer Systems,Computer Components,Power Supplies,Aerocool,71728,AEROCOOL VX 500W ATX POWER SUPPLY-RETAIL PACKAGE WITH 2 YS WARRANTY,with In Stock,AEROCOOL VX 500W ATX POWER SUPPLY-RETAIL PACKAGE WITH 2 YS WARRANTY,59.4600,http://www.citywidetech.co.nz/p.aspx?64933,
